LevelOfTrust;ScanTimeInSeconds;TotalBasketValue;ScannedProducts;CountOfVoidedScans;ActivateWithoutScan;ModifiedQuantities
5;560;41.87;17;4;1;2
3;1381;67.4;27;6;0;2
5;1577;98.35;30;7;1;4
5;1145;37.49;10;8;10;5
1;289;7.17;21;5;10;4
5;189;7.69;10;10;2;5
6;155;67.17;28;6;8;2
5;640;24.43;17;5;10;0
5;799;64.38;5;9;3;0
6;1629;48.29;9;2;2;0
2;1730;7.84;19;6;7;5
5;1070;48.26;17;3;0;1
2;1010;26.39;17;3;5;1
2;1663;0.43;15;5;2;5
1;655;94.63;22;10;4;2
4;1231;86.17;17;7;2;3
3;1375;20.79;12;11;7;1
1;1433;16.8;25;1;1;1
3;658;52.3;20;5;1;3
1;1054;14.04;4;1;2;4
6;1800;38.46;11;6;6;2
2;288;99.59;26;8;1;1
6;660;54.32;17;1;9;0
5;1198;66.03;7;4;8;3
5;456;59.35;16;10;8;5
4;824;45.39;13;9;5;2
6;717;60.39;8;0;8;3
6;716;41.87;17;2;7;2
6;730;36.69;24;8;4;2
5;1398;55.16;8;10;2;3
4;1179;100.38;25;6;3;1
3;1061;34.69;2;4;2;4
2;1009;88.84;4;9;9;5
3;1439;1.72;2;3;1;0
5;313;61.76;29;4;8;2
5;1015;85.98;6;11;7;3
3;1280;3.92;11;0;4;5
2;1483;68.79;20;10;2;1
2;1626;43.34;2;3;3;5
2;694;8.04;27;9;4;5
2;271;35.52;25;5;7;0
1;1637;40.71;17;1;1;3
4;1331;9.9;16;1;4;4
3;353;96.86;18;0;2;5
6;186;26.97;13;2;9;3
2;1718;5.95;16;8;7;4
2;802;23.15;21;0;9;2
5;890;37.22;4;10;0;4
1;304;99.58;3;8;10;0
4;499;9.88;2;9;4;0
6;1264;91.01;19;8;7;2
3;917;75.35;11;3;1;0
1;1714;27.64;25;11;2;1
6;895;55.36;27;3;7;4
5;893;62.05;20;9;1;3
3;1516;75.73;26;6;3;4
6;821;62.79;22;3;1;4
1;562;48.29;7;8;10;3
3;1677;42.23;26;3;10;4
4;1535;88.78;3;7;3;3
1;1340;66.38;14;10;3;4
1;1783;7.12;22;4;5;1
5;1308;101.17;13;6;6;3
5;1121;39.62;15;9;4;3
2;56;67.21;24;11;0;2
6;1652;98.37;10;9;4;0
3;912;58.78;19;8;6;1
6;1061;26.05;14;4;3;0
4;98;81.84;2;0;6;2
4;640;38.07;18;2;10;4
3;1750;64.66;23;9;7;5
3;1033;0.79;6;10;6;1
2;228;55.54;20;1;3;2
3;157;97.07;28;6;3;2
6;1697;44;29;5;6;1
1;150;59.07;11;11;9;2
1;402;45.44;11;3;8;3
2;1132;62.06;20;1;10;2
4;875;54.04;13;1;8;5
5;196;11.93;19;3;3;5
2;1384;52.22;30;6;7;3
2;492;35.61;17;0;9;1
6;287;60.8;9;9;3;4
6;430;82.68;24;11;4;5
6;1363;20.27;12;0;5;4
3;738;21.46;13;9;9;1
5;1261;7.89;21;0;4;1
3;1385;20.86;15;5;6;4
2;1731;6.44;28;10;7;5
1;621;27.37;18;6;6;2
2;1485;69.47;12;1;5;5
2;1461;34.19;17;8;0;3
4;1046;92.54;21;4;4;3
1;1092;22.52;8;0;8;2
6;301;38.15;16;0;6;2
5;1213;91.96;29;5;6;2
4;1229;68.16;11;10;10;2
2;252;7.39;4;1;10;0
4;811;47.37;30;0;0;2
3;1271;52.82;25;1;1;3
4;1616;85.36;9;0;4;0
1;130;24.3;3;9;2;2
2;737;60.78;2;2;8;3
2;945;23.23;23;7;3;3
2;1185;72.73;21;6;7;2
3;763;7.2;25;6;1;1
2;1129;37.56;29;10;9;0
2;484;90.08;18;5;6;3
5;734;32.78;22;2;10;1
2;1021;8.34;28;4;8;5
3;1096;81.84;13;1;8;2
1;1720;81.59;14;8;7;3
1;407;79.16;2;10;1;1
5;1580;8.33;2;0;5;4
1;88;88.27;6;9;2;4
1;423;83.55;21;11;10;4
3;864;86.54;23;5;10;0
1;1520;21.96;1;10;5;0
6;858;82.89;3;10;9;3
1;695;53.39;12;11;2;2
5;370;93.68;22;5;1;5
4;724;49.15;21;1;2;0
5;312;56.43;3;6;5;1
1;273;18.72;19;6;9;4
3;1587;90.04;29;11;8;3
5;1720;47.18;30;3;5;5
1;944;75.09;1;6;10;2
4;1387;15.1;27;7;2;4
1;640;35.95;18;10;3;2
1;1306;57.65;4;3;2;5
4;1253;0.14;3;2;5;5
3;344;0.12;13;0;9;0
6;719;48.64;29;3;8;2
2;1321;89.41;23;6;10;2
4;1774;47.67;8;6;5;4
3;289;19.87;30;9;4;5
2;675;5.99;14;3;8;2
1;519;38.9;25;2;10;4
5;1671;61.81;2;3;8;3
1;1248;60.71;4;1;7;2
6;575;52.89;24;11;0;3
3;1618;0.33;19;9;2;5
1;1152;77.65;28;7;5;3
5;1095;26.04;27;8;0;1
5;1679;52.55;30;7;10;2
3;243;6.69;28;1;5;2
4;19;58.69;1;9;3;5
5;794;43.53;6;11;0;3
4;1212;42.91;26;1;8;5
6;441;12.86;22;7;10;5
3;245;95.92;4;2;1;0
5;241;0.4;30;9;1;2
6;159;56.69;19;3;0;4
4;548;32.13;18;3;2;4
4;130;38.44;26;7;2;1
1;1405;95.58;16;7;4;2
4;1348;16.81;30;11;8;1
5;1365;96.5;16;2;7;5
5;1665;87.47;23;4;10;4
3;278;52.53;15;5;8;4
5;727;67.03;24;1;9;3
6;844;75.07;12;8;10;2
4;804;4.78;7;8;1;5
3;1361;49.06;30;0;8;3
3;491;34.82;25;11;4;0
4;85;21.41;20;9;5;1
5;1045;22.64;8;9;0;3
2;1741;49.95;3;3;3;2
4;1443;19.99;3;7;3;4
4;1351;66.53;15;8;10;4
1;92;51.89;14;5;7;3
1;927;20.17;13;2;6;1
1;550;16.93;9;9;9;1
2;123;8.96;26;0;9;2
4;355;77.67;3;10;5;3
6;199;55.81;2;10;10;4
1;596;80.8;26;8;2;1
6;666;15.3;7;5;9;1
1;467;23.25;24;3;3;2
5;483;22.69;28;8;2;4
3;1188;18.46;4;1;8;1
1;708;76.56;9;6;7;4
1;151;77.33;2;1;10;2
3;334;15.29;1;3;5;5
5;358;48.32;29;3;2;5
6;833;44.76;24;11;6;0
5;1484;30.8;10;9;9;4
4;1005;62.68;2;8;3;3
4;379;0.64;21;9;8;3
3;1583;96.56;4;5;1;0
6;1387;72.22;16;7;2;0
3;1307;79.53;13;9;9;5
6;1543;23.29;29;1;7;4
1;1304;13.58;4;1;3;1
5;445;93.69;27;11;7;3
4;1524;19.42;2;7;3;5
6;156;88.59;21;9;9;4
6;556;87.9;27;6;8;0
5;1664;78.67;3;6;5;1
3;1822;2.75;12;1;8;3
4;1169;2.13;13;6;1;5
3;1472;1.07;4;9;10;5
3;1196;63.69;26;4;2;3
1;241;84.04;27;9;1;0
3;1460;11.11;4;4;7;3
2;200;84.73;4;2;1;2
6;1317;11.91;7;0;9;2
6;383;48.46;26;3;1;1
5;1250;14.71;12;0;8;1
3;1630;71.97;18;1;6;3
6;111;42.19;28;4;2;4
4;413;28.42;24;9;9;5
4;424;31.38;25;6;9;5
1;337;85.72;6;6;1;3
5;1671;71.54;4;9;10;1
5;131;37;11;2;4;2
4;233;89.38;29;5;5;3
6;272;65.17;21;6;10;5
2;1423;31.16;22;0;9;1
3;947;92.27;13;5;9;2
2;818;101.08;27;11;9;3
4;1043;87.21;8;5;2;0
1;848;68.37;11;3;1;2
2;429;89.65;13;6;5;0
3;679;3.69;20;0;0;2
3;574;0.39;28;2;2;5
3;206;51.17;6;6;1;2
6;1112;52.09;16;11;6;0
2;136;81.37;19;4;10;5
2;1415;74.64;4;3;6;5
3;924;30.75;14;4;8;3
6;1787;23.75;27;5;10;5
6;1365;86.86;14;1;2;0
3;1107;83.89;3;10;6;0
6;1831;53.39;25;11;4;1
3;1561;56.95;28;4;1;0
4;442;14.69;12;2;6;3
3;987;75.42;26;8;0;4
2;1632;32.6;10;8;1;0
1;984;1.76;18;3;4;3
6;1083;46.39;10;8;7;5
6;1094;98.72;21;9;10;5
6;321;36.08;12;10;1;2
5;1262;7.35;16;7;2;1
3;1072;56.61;12;10;8;3
1;1715;76.64;12;7;3;5
6;898;2.24;18;6;3;4
2;1490;56;7;5;4;3
2;1134;15.73;24;2;4;2
2;1105;84.19;10;10;8;4
5;234;59.24;8;9;8;4
4;39;97.34;17;7;2;0
4;884;58.03;20;8;3;2
6;5;34.31;25;9;3;4
6;1465;65.66;23;2;2;4
5;1482;37.94;8;5;2;0
1;938;85.87;12;1;10;3
1;1664;53.5;7;11;6;5
6;628;41.09;24;8;10;5
5;440;22.66;28;10;5;5
1;1688;8.67;15;0;10;2
4;296;30.54;7;10;9;2
1;695;23.35;16;7;8;1
6;302;22.58;4;0;4;0
5;625;95.79;8;2;2;1
2;720;94.44;5;2;6;2
1;324;11.99;14;10;2;3
2;655;61.53;11;5;5;2
5;1411;74.3;29;4;0;4
1;1707;29.79;1;7;5;3
4;265;5.5;9;10;5;2
2;1417;50.34;3;7;3;5
5;432;36.51;24;6;5;3
5;1314;91.73;21;8;4;3
4;1043;69.18;25;9;3;2
3;387;62.83;1;5;0;2
6;1562;7.37;27;10;10;3
4;512;52.56;16;5;6;3
1;731;45.22;19;0;10;2
6;1667;58.84;16;11;0;0
3;332;1.35;5;9;9;5
5;608;79.15;24;4;8;4
4;856;41.75;13;2;10;0
3;916;19.71;3;9;2;1
6;885;89.7;6;10;6;1
6;1181;18.09;19;10;2;3
4;1244;44.81;5;6;4;1
4;112;91.46;30;1;4;1
5;22;13.66;6;8;2;2
2;925;9.53;5;11;6;4
4;1452;86.2;2;0;8;2
6;100;0.68;14;0;3;0
4;200;58.48;17;7;3;2
2;1190;30.2;26;3;6;0
5;1208;4.78;23;3;1;1
2;1277;56.69;26;3;8;4
6;1283;35.05;26;10;4;4
6;1670;1.23;12;4;3;2
3;19;96.07;4;1;5;0
6;658;31.53;4;11;6;0
6;992;5.64;2;3;4;5
3;1631;88.99;14;3;3;0
1;945;94.52;10;8;10;4
6;65;25.18;8;1;4;2
2;1824;54.43;13;0;6;0
4;355;4.93;28;6;9;0
5;288;54.89;14;6;10;2
5;173;80.19;7;6;1;3
4;570;88.94;18;2;1;4
6;1055;70.49;9;6;1;0
3;568;51.57;25;7;3;0
4;1724;75.38;24;2;6;2
5;1692;74.59;11;0;6;5
1;228;63.89;23;4;7;5
2;669;101.13;20;7;6;0
5;506;26.49;4;11;10;4
6;1166;82.02;3;3;6;4
3;1563;24.97;24;3;7;1
3;234;71.1;12;3;6;4
2;587;39.85;15;3;10;3
5;1586;90.74;30;7;9;5
3;1375;42.4;9;8;7;0
6;353;27.04;29;8;6;1
2;1549;27.73;18;11;0;1
2;297;65.86;3;3;10;2
1;68;73.57;5;6;8;0
6;173;32.77;25;6;2;2
1;950;70.4;7;5;7;3
1;674;28.23;15;5;10;3
6;634;75.85;29;4;6;0
5;1605;7.58;6;11;0;2
3;844;17.34;1;8;9;4
1;1433;1.43;28;7;6;0
6;848;66.82;20;5;2;3
2;1511;65.41;28;6;6;4
6;1208;56.8;2;9;2;3
1;725;54.39;14;8;8;0
5;1017;25.78;10;4;3;4
6;1285;75.01;9;8;10;2
1;1149;81.74;18;7;5;1
2;284;81;24;2;5;2
3;36;72.35;17;11;5;2
2;853;88.11;29;4;2;2
6;323;7.33;4;10;4;2
5;1027;22.85;13;8;9;1
4;1060;10.08;12;4;7;5
5;1763;49.73;2;2;9;2
5;742;27.27;29;5;9;4
4;165;47.11;1;4;2;0
3;1642;37.72;24;1;10;0
5;461;91.11;10;7;7;1
4;628;89.37;28;11;8;1
2;913;58.77;15;7;7;5
5;1595;38.34;24;3;3;3
5;1380;35.17;13;9;3;5
6;1233;69.88;29;6;5;4
4;1250;81.58;13;0;4;0
4;877;30.66;11;11;7;1
6;1194;39.61;5;3;9;0
6;1284;97.77;6;3;7;0
2;516;47.53;4;5;3;0
1;67;46.92;16;1;3;1
1;924;91.91;7;1;2;0
5;939;65.27;30;4;2;5
4;1728;70.12;11;0;4;5
6;1345;83.68;6;6;4;5
6;1205;37.67;29;11;8;2
4;522;93.47;17;4;10;1
2;1169;70.3;28;2;3;5
3;911;40.89;2;11;0;5
2;515;40.97;28;8;1;4
2;1737;23.62;26;9;10;4
6;1539;15.21;4;10;6;0
1;1265;63.41;2;7;0;4
1;1504;60.59;10;9;0;4
4;1312;23.97;11;10;2;3
4;1614;24.47;14;4;10;3
5;768;24.6;28;8;7;0
6;370;31.68;10;8;0;4
1;106;40.2;1;2;9;2
4;711;47.31;30;7;1;5
4;1693;4.45;30;5;1;0
5;691;31.16;30;1;1;4
4;1552;72.71;26;9;9;5
5;1313;39.16;2;7;7;4
2;1277;63.93;3;0;0;5
1;575;33.53;4;2;4;3
5;967;60.43;1;5;10;5
5;200;5;16;0;4;5
5;1066;77.3;27;0;4;3
6;1157;95.89;3;8;6;1
2;1226;71.16;3;2;6;0
4;1519;94.01;28;6;5;4
1;95;33.52;17;8;3;1
6;587;98.41;26;5;2;2
1;1681;80.32;1;9;7;3
4;354;65.79;18;2;9;5
2;679;63.05;4;10;2;3
5;1546;98.64;14;9;8;5
3;1672;55.61;18;7;1;1
2;1384;7.34;3;6;10;2
6;233;51.1;8;4;9;0
2;974;54.47;17;7;7;0
2;43;23.11;8;7;2;0
5;666;4.39;26;11;10;1
2;144;96.67;6;8;9;1
5;918;67.11;11;1;7;1
3;1121;61.77;18;7;10;3
5;1599;32.27;13;1;5;1
2;324;13.47;13;3;8;5
5;1888;24.99;24;1;6;2
4;270;50.15;1;11;7;3
6;676;29.94;19;0;7;1
4;1292;43.42;17;3;7;2
6;581;15.08;28;6;2;0
5;25;92.43;13;2;10;0
6;1241;63.7;28;7;4;4
1;1067;81.28;9;6;7;0
3;164;16.46;16;3;8;3
6;1276;5.73;25;9;3;2
4;1027;90.93;17;11;1;2
1;516;59;29;4;10;1
6;1508;27.16;21;3;3;0
2;936;33.82;29;6;5;5
2;1626;16.92;20;10;10;0
2;1607;77.78;29;5;7;5
1;1315;60.13;12;7;6;1
4;1742;25.84;3;6;0;3
4;36;93.87;14;11;7;1
4;16;63.59;15;2;9;5
4;1694;49.18;12;8;1;3
2;216;37.03;1;8;10;4
6;703;39.59;29;6;10;5
3;215;35.55;11;1;7;0
2;1376;65.32;28;9;9;0
5;1578;20.69;2;5;3;2
6;1268;68.31;14;1;3;0
5;300;30.63;21;2;7;5
6;424;81.16;19;7;1;0
5;1377;64.13;17;4;7;0
1;464;24.67;20;11;0;1
3;203;81.91;14;9;4;0
2;84;96.28;9;11;8;5
2;382;95.35;6;9;7;3
3;398;46.21;14;3;7;2
1;1416;22.74;19;9;3;5
2;1765;66.81;24;8;2;4
5;1518;51.62;15;11;1;2
4;785;63.36;1;0;10;3
6;403;92;27;2;10;3
3;694;86.07;27;3;3;1
1;241;3.6;21;0;10;3
2;1734;97.67;26;2;5;3
5;1585;56.9;7;9;2;2
3;220;5.9;4;10;4;1
3;812;87.36;16;5;1;2
4;994;41.58;5;9;7;5
6;793;71.16;17;0;8;2
5;1622;43.98;20;1;5;1
3;979;86.31;6;0;8;3
2;1570;37.27;25;8;6;1
5;456;5.38;26;5;1;2
3;1433;32.65;7;3;4;0
3;540;94.86;9;9;5;3
2;938;7.8;30;3;5;3
4;1549;43.72;30;2;3;4
2;1172;19.23;8;8;0;3
6;177;30.02;8;4;3;3
6;805;71.72;29;7;8;0
1;1242;32.56;1;8;8;1
1;605;46.54;19;6;6;1
1;682;21.48;22;7;2;5
6;1132;12.05;17;5;2;3
2;1500;25.03;29;5;7;0
3;1493;80.19;9;4;0;0
5;1216;51.44;15;10;8;0
2;486;61.85;18;5;3;0
4;577;91.45;25;7;4;4
3;1192;87.47;19;5;2;0
6;872;53.29;12;2;4;0
1;1718;98.7;22;4;8;2
2;503;62.22;7;10;0;1
3;838;84.64;16;8;10;2
1;283;23.74;18;9;10;3
6;1431;83.19;9;4;9;2
4;1272;58.89;10;1;6;4
6;238;20.44;28;6;6;3
2;729;47.64;10;8;6;0
6;1037;93.44;30;8;3;2
3;59;48.41;28;11;9;5
4;1769;76.79;24;2;7;0
1;1152;57.61;30;7;6;0
2;1255;88.26;25;6;9;5
2;612;78.51;1;8;4;3
2;562;60.7;13;1;2;4
5;657;39.83;25;7;9;3
3;780;7.37;3;3;0;3
2;307;87.98;2;11;0;0
1;1281;78.57;3;6;4;0
5;490;42.64;7;10;1;0
2;1330;81.26;1;7;4;5
6;209;94.92;17;5;0;0
3;1789;11.35;4;6;9;3
3;1341;9.02;10;2;2;5
5;144;100.48;27;3;10;1
4;864;94.64;23;6;6;1
6;1391;21.84;21;4;7;4
3;32;27.49;6;1;3;5
1;664;5.22;22;3;10;0
2;1498;100.17;21;9;4;0
3;1269;80.38;11;5;8;3
6;1493;52.64;14;4;2;5
4;870;24.94;4;7;3;4
4;456;94.94;24;5;2;5
6;5;33.84;15;8;1;0
3;833;17.87;5;10;6;2
6;39;70.06;18;5;9;1
6;468;10.44;22;3;8;4
2;1273;15.2;23;8;4;0
6;935;41.35;30;0;3;1
5;50;27.81;3;5;5;0
6;1161;46.41;9;5;10;1
3;1530;90.67;9;0;10;5
6;1374;53.21;7;3;8;0
2;893;67.56;22;5;9;1
2;1224;47.5;4;8;2;2
6;66;37.13;9;11;2;0
2;584;94.99;11;2;6;5
6;1714;39.89;18;0;6;1
6;1764;56.02;24;10;7;1
4;757;34.66;27;1;0;2
4;1141;32.9;23;9;9;5
1;457;15.69;24;10;5;2
6;817;65.01;5;4;10;2
2;1319;22.45;1;6;2;5
6;500;26.79;16;6;10;5
5;1318;33.64;20;2;8;0
5;1464;51.17;26;9;0;4
3;1695;33.65;9;10;7;5
4;1039;94.97;7;2;0;3
6;1421;42.47;18;1;9;2
3;437;4.69;6;9;8;1
1;993;47.48;18;7;2;0
1;1384;54.3;13;4;8;4
1;1580;47.79;11;3;1;4
4;1059;60.1;4;11;10;5
6;1611;6.97;2;9;9;4
4;1159;39.94;24;3;5;2
4;1229;60.1;8;3;3;5
1;816;21.12;12;10;3;1
2;502;85.94;28;6;5;5
2;1373;91.47;12;2;4;3
5;415;70.92;19;5;1;3
3;1736;50.43;30;1;6;4
6;1353;20.96;4;6;8;1
3;224;18.35;30;9;6;3
6;69;37.43;18;5;6;5
2;377;34.78;17;5;8;2
4;745;42.93;28;2;6;1
6;256;85.2;26;1;2;3
6;1587;3.36;5;7;0;5
4;1117;93.79;11;2;1;1
5;661;57.66;1;0;4;0
1;1496;85.98;20;0;7;1
3;1077;4.6;19;3;9;5
2;927;86.35;8;11;8;5
3;1809;96.45;15;6;5;4
4;662;25.87;17;0;5;4
5;645;67.84;18;5;6;4
1;1597;2.49;5;6;8;3
3;422;25.45;22;2;2;3
1;327;54.08;2;5;4;2
4;1657;98.63;3;11;10;3
2;756;75.43;30;9;1;2
6;914;3.84;1;6;1;4
6;1319;43.95;5;5;9;3
3;1694;48.26;28;8;3;1
6;727;42.93;30;0;2;0
6;292;39.76;22;11;4;5
1;1548;79.8;24;9;2;1
6;1091;48.55;16;9;9;3
4;282;47.46;18;7;1;1
5;385;36.28;17;5;7;5
4;1699;89.71;8;8;3;4
5;611;60.61;5;7;3;5
3;4;8.89;6;5;10;1
1;1321;26.36;18;0;6;4
1;409;38.68;15;9;6;3
1;825;69.56;14;5;10;1
1;650;83.79;7;4;9;1
5;141;31.49;30;4;3;3
1;994;96.67;3;7;5;1
4;169;13.33;11;6;5;3
6;1180;23.71;3;7;6;4
4;891;71.49;24;5;7;1
5;405;77.39;4;5;10;0
6;389;22.91;23;8;9;0
2;999;24.1;27;9;0;2
2;620;30.67;5;6;9;1
5;15;8.11;10;0;9;0
5;104;25.27;11;11;9;5
4;1670;16.95;24;3;1;5
5;977;8.53;12;10;1;0
2;1294;47.83;10;1;8;5
6;1692;91.81;14;6;3;1
4;1296;89.27;12;3;7;4
1;806;58.16;26;10;5;0
5;153;77.7;25;6;6;1
4;848;61.67;15;5;9;0
2;266;8.59;7;6;5;1
2;922;76.9;30;5;8;3
3;33;32.66;24;4;10;3
3;262;49.06;23;8;9;0
2;634;1.57;14;10;9;3
5;861;2.69;3;3;3;4
4;1108;74.92;6;1;5;1
6;417;19.78;16;7;0;1
2;618;88.33;8;7;2;5
6;23;44.26;9;1;1;3
1;970;60.87;23;6;7;2
2;1633;96.21;23;4;6;2
2;511;85.86;4;5;5;0
3;1101;41.8;11;1;7;0
1;1180;92.72;6;3;2;4
6;1828;38.83;9;10;4;3
6;1145;51.58;1;1;1;2
6;356;42.45;20;0;4;0
1;1391;12.7;17;10;10;0
3;480;101.45;9;8;5;3
1;740;40.31;1;11;3;5
1;1677;97.83;28;8;7;5
5;1339;17.14;2;7;0;4
1;415;16.2;19;3;5;0
6;1612;11.9;9;4;4;4
4;1296;31.66;10;11;7;4
5;1556;68.66;22;1;6;0
5;1893;1.9;4;8;1;4
4;1468;9.37;2;11;8;0
6;1730;53.87;20;7;9;0
6;1711;17.93;22;0;5;3
2;829;43.81;23;1;10;1
1;1045;61.24;16;7;0;5
4;1027;91.91;11;2;8;4
1;204;83.14;7;5;7;3
5;181;27.02;23;2;6;4
1;1310;80.74;30;6;7;1
2;1134;82.86;9;10;9;4
3;381;69.78;21;9;10;3
5;1889;52.6;5;8;7;0
3;1725;68.05;7;4;10;1
5;1711;65.41;29;4;2;0
5;1791;53.83;21;3;7;4
3;632;78.85;16;11;4;4
2;851;23.3;3;5;1;2
2;1068;83.04;8;0;4;5
2;1359;6.84;2;10;1;2
6;1627;60.88;7;7;4;0
4;1715;52.29;8;5;5;3
3;889;32.56;29;3;6;0
1;341;41.34;28;4;4;5
4;1135;59.54;19;0;5;0
4;1705;91.91;19;4;9;4
3;422;84.62;16;6;2;4
3;405;20.31;26;1;2;0
2;1623;67.28;2;0;5;0
3;485;89.49;28;3;10;4
6;1598;63.46;15;3;9;0
5;1295;38.29;8;10;10;4
2;227;94.43;3;6;9;0
1;795;61.39;19;0;9;0
6;1384;38.39;12;0;6;4
3;1805;9.85;13;8;8;0
5;1457;82.15;30;7;7;2
3;815;63.61;15;1;8;2
3;506;49.16;30;8;0;3
2;1218;39.01;24;8;4;5
4;1490;64.57;23;8;3;3
6;1595;39.81;4;1;10;0
2;342;26.95;29;8;7;5
5;918;14.81;7;0;1;1
3;915;69.7;25;5;0;4
2;1326;44.46;9;9;0;3
6;1380;64.12;7;3;1;1
2;223;12.34;7;8;6;2
4;685;1.24;12;1;0;1
6;941;64.52;7;11;4;5
3;1414;7.91;19;4;0;0
4;1451;29.72;11;1;10;1
4;1068;53.19;5;3;2;2
6;430;10.07;10;6;3;5
2;470;94.76;19;8;10;5
5;867;48.77;24;5;0;5
1;1239;53.87;12;4;10;3
1;639;1.93;26;0;7;0
1;413;61.3;26;2;9;3
3;868;67.23;2;6;3;1
2;4;47.53;8;2;4;3
3;822;27.04;2;9;9;1
4;1666;72.77;29;0;10;4
2;22;77.67;29;0;0;4
3;1196;47.82;23;5;1;2
6;1376;33.05;14;8;2;4
2;1752;2.66;11;8;5;2
1;1649;11.02;5;0;4;5
6;223;59.05;28;9;5;0
1;3;81.9;20;5;0;1
3;1305;31.18;1;10;2;2
4;120;59.54;7;11;9;2
1;317;74.96;20;3;9;1
2;1456;75.97;21;4;4;0
3;1595;102.96;11;0;3;1
4;502;13.32;25;6;8;2
3;914;30.45;23;10;3;2
5;755;22.72;9;9;7;0
5;1459;20.24;26;9;8;4
6;1254;18.69;19;3;1;3
3;490;86.02;4;5;9;2
1;1157;50.21;2;0;0;0
1;1642;92.43;21;0;10;3
6;581;40.39;30;0;2;3
2;393;30.53;25;9;3;3
2;1508;16.75;19;4;6;2
1;1694;80.77;23;10;0;0
3;98;60.74;13;1;4;4
1;1482;78.05;14;0;0;5
3;249;37.32;5;0;3;4
3;486;66.88;14;0;2;2
3;177;33.78;5;10;3;2
2;1784;84.83;4;3;6;1
1;705;27.22;3;10;4;3
2;601;48.87;28;7;7;4
3;486;11.65;28;9;5;3
5;266;69.2;22;9;7;3
6;427;34.25;8;8;0;4
5;954;29.1;30;4;0;3
3;1584;83.5;21;9;0;0
3;630;9.11;15;9;0;2
4;603;24.63;11;9;6;0
5;78;76.74;10;8;8;0
2;970;74.04;24;5;1;0
1;1498;66.12;13;8;6;0
4;159;35.63;15;7;8;2
